Name,Account.Name,StageName,Amount,CloseDate,CreatedDate
Acme Corp - Enterprise License,Acme Corp,Closed Won,150000,2026-01-15,2026-01-15
Acme Corp - Platform Upgrade,Acme Corp,Negotiation/Review,200000,2026-06-30,2026-04-01
Delta Health - CRM Migration,Delta Health Systems,Closed Won,320000,2025-11-20,2025-11-20
Delta Health - Analytics Add-on,Delta Health Systems,Proposal/Price Quote,85000,2026-05-15,2026-03-10
Pinnacle - Compliance Module,Pinnacle Finance Group,Closed Won,275000,2026-02-28,2026-02-28
Pinnacle - API Integration,Pinnacle Finance Group,Closed Won,120000,2025-09-15,2025-09-15
NovaTech - Cloud Suite,NovaTech Solutions,Closed Won,95000,2025-12-10,2025-12-10
NovaTech - Support Contract,NovaTech Solutions,Negotiation/Review,45000,2026-07-01,2026-03-20
CloudBridge - Data Platform,CloudBridge Analytics,Closed Won,180000,2026-01-30,2026-01-30
CloudBridge - ML Module,CloudBridge Analytics,Qualification,110000,2026-08-15,2026-04-05
Meridian - Fleet Tracking,Meridian Logistics,Closed Won,72000,2025-10-15,2025-10-15
Summit Edu - Student Portal,Summit Education,Closed Won,55000,2026-03-01,2026-03-01
Beta Industries - Inventory System,Beta Industries,Closed Won,65000,2025-08-20,2025-08-20
Beta Industries - Expansion,Beta Industries,Closed Lost,90000,2026-01-31,2026-01-31
Atlas Retail - POS Integration,Atlas Retail Group,Closed Lost,78000,2025-11-15,2025-11-15
Atlas Retail - Loyalty Program,Atlas Retail Group,Prospecting,55000,2026-06-30,2026-02-10
CoreWave - Network Monitoring,CoreWave Telecom,Closed Won,195000,2025-07-15,2025-07-15
CoreWave - 5G Platform,CoreWave Telecom,Closed Lost,350000,2026-02-15,2026-02-15
Bright Horizons - CMS,Bright Horizons Media,Needs Analysis,38000,2026-07-31,2026-01-20
Pacific Supply - ERP Link,Pacific Supply Co,Closed Lost,42000,2025-12-30,2025-12-30
Quantum - Monitoring Suite,Quantum Energy Inc,Closed Won,130000,2025-06-30,2025-06-30
Quantum - Predictive Maint,Quantum Energy Inc,Closed Lost,85000,2025-12-15,2025-12-15
Urban Eats - Delivery App,Urban Eats Delivery,Qualification,22000,2026-08-01,2026-02-15
Gamma - Accounting Module,Gamma Solutions,Closed Lost,35000,2025-09-30,2025-09-30
Gamma - Renewal,Gamma Solutions,Closed Lost,28000,2026-01-15,2026-01-15
Redwood - CRM Setup,Redwood Consulting,Closed Lost,18000,2025-10-31,2025-10-31
Ironclad - Security Platform,Ironclad Security,Closed Lost,65000,2025-08-15,2025-08-15
Ironclad - Compliance,Ironclad Security,Closed Lost,45000,2026-02-28,2026-02-28
Lakeside - Property Mgmt,Lakeside Properties,Closed Lost,24000,2025-11-30,2025-11-30
FrostByte - Game Server,FrostByte Gaming,Closed Lost,12000,2025-07-31,2025-07-31
OldGuard - Claims System,OldGuard Insurance,Closed Won,85000,2025-04-15,2025-04-15
OldGuard - Digital Transform,OldGuard Insurance,Closed Lost,150000,2025-12-31,2025-12-31
OldGuard - Renewal,OldGuard Insurance,Closed Lost,85000,2026-03-15,2026-03-15
Rustic Farms - Crop Tracker,Rustic Farms Co-op,Closed Lost,15000,2025-09-15,2025-09-15
Sunset Travel - Booking,Sunset Travel Agency,Closed Lost,10000,2025-06-30,2025-06-30
Cobalt - Safety Compliance,Cobalt Chemicals,Closed Won,70000,2025-05-15,2025-05-15
Cobalt - Process Automation,Cobalt Chemicals,Closed Lost,95000,2026-01-31,2026-01-31
Echo Systems - Starter Pack,Echo Systems Ltd,Closed Lost,8000,2025-08-31,2025-08-31
Greenfield - Quality System,Greenfield Manufacturing,Closed Won,88000,2026-02-10,2026-02-10
Summit Edu - Analytics,Summit Education,Proposal/Price Quote,42000,2026-06-15,2026-04-01
